id,booking_id,company_id,branch_id,court_id,service_id,start_datetime,end_datetime,duration_minutes,unit_price,quantity,subtotal,discount_amount,total_amount,created_at,updated_at,created_by,updated_by,deleted_at
91ff583a-8fcb-4f9a-b820-9b784cd7cc58,5fe1635b-4a94-42b1-82ae-9f473bc3837e,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,182a3533-f0dd-4e9e-8965-3f62cb6a1686,25404fe4-0c4d-433c-9946-04595ad991a2,2026-01-28 08:00:00,2026-01-28 09:00:00,60,25.00,1,25.00,0.00,27.00,2026-01-26 08:00:00,2026-01-04 14:58:04,,,
f2e88c37-e27c-4e48-94ae-e7bee4f96e07,a2423409-d5cc-469c-89e7-532a1db37fef,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,dd2d1579-2609-4d1b-8147-c1c8bafc7acd,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-02-03 07:00:00,2026-02-03 08:00:00,60,35.00,1,35.00,3.50,34.30,2026-02-01 07:00:00,2026-01-04 14:58:04,,,
866a7199-fb32-4ec3-939e-6cdeacf45b3a,fdbc427b-e342-4e76-96c6-5e71e17970bb,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,eefdcdb0-07fa-4e12-a873-259347a570e7,595b4a67-966e-42b6-b52a-57d7819ecf35,2025-12-10 03:00:00,2025-12-10 05:00:00,120,30.00,1,60.00,0.00,64.80,2025-12-08 03:00:00,2026-01-04 14:58:04,,,
04658ba2-04cd-4a9c-87c2-a75b8fa1bc86,d2116852-768f-4d03-afea-b725f1074e4f,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,1a2d7dbf-b2d5-422b-bf49-4e7a88569fa6,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-03-02 08:00:00,2026-03-02 09:30:00,90,30.00,1,45.00,4.50,44.10,2026-02-28 08:00:00,2026-01-04 14:58:04,,,
068fd923-474c-4629-8267-63e7e42a86bd,2c5ef2f4-19a1-4d32-b3b2-204b8ee11ff4,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,37c11ae2-3efa-4dfb-b5e2-ae662b77f148,25404fe4-0c4d-433c-9946-04595ad991a2,2025-12-21 07:00:00,2025-12-21 09:00:00,120,30.00,1,60.00,0.00,64.80,2025-12-19 07:00:00,2026-01-04 14:58:04,,,
6082e38c-fc92-47bf-bd3d-15f2ff66b31c,adec471a-7f53-40b0-8961-9ec1a58e3d82,8463e550-2cb3-41a1-86f4-17ae589e073a,b7871655-3ad6-4a91-9122-c40bf86ce57a,8511ed59-7056-49aa-a84a-e92878a61387,25404fe4-0c4d-433c-9946-04595ad991a2,2026-02-28 00:00:00,2026-02-28 02:00:00,120,35.00,1,70.00,7.00,68.60,2026-02-26 00:00:00,2026-01-04 14:58:04,,,
653b8754-9f2e-4145-8ecc-908d10a20e8b,e1061b09-d764-4bb1-93e4-8121bd7d81fa,38838bd5-9249-449c-8118-473dec2d5057,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,84c99c95-ddbd-4095-b0dc-f33acb44f071,7a387614-4afe-4ca3-8b0c-996cd116a510,2026-02-15 11:00:00,2026-02-15 13:00:00,120,35.00,1,70.00,0.00,75.60,2026-02-13 11:00:00,2026-01-04 14:58:04,,,
06bb0918-4aee-4973-ab01-a6bbd01fa3db,c98bb858-cd8d-4e21-96ba-9d7a52149831,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,814815d3-91b1-449d-9acf-54880c8f84c6,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-01-24 03:00:00,2026-01-24 05:00:00,120,25.00,1,50.00,5.00,49.00,2026-01-22 03:00:00,2026-01-04 14:58:04,,,
a9645e07-49ae-4bb3-b561-1d0f20983897,511c0791-4dc5-4236-a5cb-ed4d071be367,b411647a-a044-4395-b9ce-21ba61d2dc49,b200245d-aec6-421e-83b7-9f2968e76d78,258323a4-01db-41b3-9bd1-db2bbd96c462,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,2025-12-15 05:00:00,2025-12-15 06:00:00,60,30.00,1,30.00,0.00,32.40,2025-12-13 05:00:00,2026-01-04 14:58:04,,,
470cc544-5240-4755-9468-e91b408bb2ce,b196e35a-1782-46cc-99c0-319c7685bebd,8463e550-2cb3-41a1-86f4-17ae589e073a,eab23b60-2e47-4b22-a9ad-61036724db86,cd2e65be-9426-47d6-94ed-3fca85209b58,25404fe4-0c4d-433c-9946-04595ad991a2,2026-01-30 02:00:00,2026-01-30 03:30:00,90,35.00,1,52.50,0.00,56.70,2026-01-28 02:00:00,2026-01-04 14:58:04,,,
925e6f83-dec8-42a9-a09f-74111ee7579a,45de786e-0f1f-44d0-8245-83a1211ed5b4,38838bd5-9249-449c-8118-473dec2d5057,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,8e38d3b2-d9a4-458d-abc1-cb613bba3d28,7a387614-4afe-4ca3-8b0c-996cd116a510,2026-01-27 10:00:00,2026-01-27 11:30:00,90,30.00,1,45.00,4.50,44.10,2026-01-25 10:00:00,2026-01-04 14:58:04,,,
f9fe1394-0424-4339-a59a-f9e44c215731,fd981170-3dc9-4f5a-aa86-9453b380f28c,38838bd5-9249-449c-8118-473dec2d5057,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,6acd0dd5-59a3-4660-9e81-384e596c2478,7a387614-4afe-4ca3-8b0c-996cd116a510,2026-02-08 11:00:00,2026-02-08 13:00:00,120,25.00,1,50.00,0.00,54.00,2026-02-06 11:00:00,2026-01-04 14:58:04,,,
0b6ca4b4-0227-4ef7-beb1-42a2847e78eb,66093ebd-b383-4a9f-9369-3f3dcefe04fd,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,b1628d69-5908-428b-9de1-28e72c5f3280,648bf2b5-5e36-4f47-9620-ca5c86e74730,2025-12-16 11:00:00,2025-12-16 13:00:00,120,30.00,1,60.00,6.00,58.80,2025-12-14 11:00:00,2026-01-04 14:58:04,,,
d49f26ff-cb92-4ab6-bdbf-49fdf292cf47,a1bb2698-20e2-495d-ad97-57a4b65dbe41,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,5ecc9bcc-2bf5-4e63-90e7-8d633acf3351,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,2026-01-03 04:00:00,2026-01-03 06:00:00,120,30.00,1,60.00,0.00,64.80,2026-01-01 04:00:00,2026-01-04 14:58:04,,,
ed57369d-5f7a-49ef-aae6-252592e358a4,eeb2dd73-44d5-44eb-96b1-2cdfb74764d1,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,5ecc9bcc-2bf5-4e63-90e7-8d633acf3351,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,2026-01-30 04:00:00,2026-01-30 05:00:00,60,30.00,1,30.00,0.00,32.40,2026-01-28 04:00:00,2026-01-04 14:58:04,,,
0498a36c-88c7-4809-a205-ff42810b9641,b366e113-54c0-47ce-acb1-acbf8c24db7b,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,eefdcdb0-07fa-4e12-a873-259347a570e7,595b4a67-966e-42b6-b52a-57d7819ecf35,2025-12-25 07:00:00,2025-12-25 09:00:00,120,30.00,1,60.00,6.00,58.80,2025-12-23 07:00:00,2026-01-04 14:58:04,,,
682c02a8-19db-4309-b606-b966071b0ff5,dad49571-52ec-41fd-a667-9dbd5b40e1e5,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,1a2d7dbf-b2d5-422b-bf49-4e7a88569fa6,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-02-21 08:00:00,2026-02-21 10:00:00,120,30.00,1,60.00,0.00,64.80,2026-02-19 08:00:00,2026-01-04 14:58:04,,,
340d2f4c-4bc9-4bc7-a67b-3e4a334195c8,ca30f01a-acb8-457e-ae70-8855503067e9,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,5ecc9bcc-2bf5-4e63-90e7-8d633acf3351,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,2025-12-23 01:00:00,2025-12-23 03:00:00,120,30.00,1,60.00,0.00,64.80,2025-12-21 01:00:00,2026-01-04 14:58:04,,,
6b828b13-1ae5-46c2-85b5-2cc9a17b682c,62f36199-3ed8-4eba-b5d9-9ec597232c05,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,814815d3-91b1-449d-9acf-54880c8f84c6,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-01-30 08:00:00,2026-01-30 10:00:00,120,25.00,1,50.00,5.00,49.00,2026-01-28 08:00:00,2026-01-04 14:58:04,,,
0069d9f6-74c0-4f83-b3cd-b3ada876c5b1,0c47ac08-9607-4bd9-8bb8-e9bd28a16cc1,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,1f03634e-39cc-4fbe-af05-586ab699bb9b,25404fe4-0c4d-433c-9946-04595ad991a2,2025-12-28 09:00:00,2025-12-28 10:00:00,60,35.00,1,35.00,3.50,34.30,2025-12-26 09:00:00,2026-01-04 14:58:04,,,
4509ba48-3339-483b-864c-4441271f02ed,55617bec-e09a-41c4-b6e8-6b09f8516885,b411647a-a044-4395-b9ce-21ba61d2dc49,b200245d-aec6-421e-83b7-9f2968e76d78,258323a4-01db-41b3-9bd1-db2bbd96c462,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,2026-02-02 07:00:00,2026-02-02 09:00:00,120,30.00,1,60.00,0.00,64.80,2026-01-31 07:00:00,2026-01-04 14:58:04,,,
28a67b61-a9a5-4d8a-abbd-853aaac986ae,1a38f561-2a6c-4828-b6d7-903f3d0d8d49,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,eefdcdb0-07fa-4e12-a873-259347a570e7,595b4a67-966e-42b6-b52a-57d7819ecf35,2025-12-19 04:00:00,2025-12-19 06:00:00,120,30.00,1,60.00,6.00,58.80,2025-12-17 04:00:00,2026-01-04 14:58:04,,,
0beef610-d979-4311-8f4c-875822f0f0ff,aae6666a-77f5-42db-b5ac-8108adc638c9,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,814815d3-91b1-449d-9acf-54880c8f84c6,648bf2b5-5e36-4f47-9620-ca5c86e74730,2026-02-26 07:00:00,2026-02-26 08:30:00,90,25.00,1,37.50,0.00,40.50,2026-02-24 07:00:00,2026-01-04 14:58:04,,,
