id,user_id,company_id,branch_id,booking_number,booking_status,booking_source,subtotal,discount_amount,tax_amount,fee_amount,total_amount,currency,payment_status,notes,cancelled_at,cancelled_by,cancellation_reason,created_at,updated_at,created_by,updated_by,deleted_at
5fe1635b-4a94-42b1-82ae-9f473bc3837e,b20dc445-8a42-4694-a7e0-c7df549138cc,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,BK386842010000,confirmed,admin_manual,25.00,0.00,2.00,0.00,27.00,USD,succeeded,,,,,2026-01-26 08:00:00,2026-01-04 14:58:04,b20dc445-8a42-4694-a7e0-c7df549138cc,,
a2423409-d5cc-469c-89e7-532a1db37fef,c062bd5e-32fa-49b5-9c96-20c00f7c0099,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842010001,completed,customer_app,35.00,3.50,2.80,0.00,34.30,USD,succeeded,,,,,2026-02-01 07:00:00,2026-01-04 14:58:04,c062bd5e-32fa-49b5-9c96-20c00f7c0099,,
fdbc427b-e342-4e76-96c6-5e71e17970bb,85c52e93-6b90-4941-a3d0-edce1649da44,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,BK386842010002,completed,customer_web,60.00,0.00,4.80,0.00,64.80,USD,failed,,,,,2025-12-08 03:00:00,2026-01-04 14:58:04,85c52e93-6b90-4941-a3d0-edce1649da44,,
d2116852-768f-4d03-afea-b725f1074e4f,3a25ace4-27dc-4619-81e8-0ba15086b640,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,BK386842010003,cancelled,customer_app,45.00,4.50,3.60,0.00,44.10,USD,refunded,Customer requested cancellation,2026-03-01 08:00:00,3a25ace4-27dc-4619-81e8-0ba15086b640,Customer request,2026-02-28 08:00:00,2026-01-04 14:58:04,3a25ace4-27dc-4619-81e8-0ba15086b640,,
2c5ef2f4-19a1-4d32-b3b2-204b8ee11ff4,2e4ec524-24dd-476e-b734-58cebd653129,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,BK386842010004,confirmed,customer_web,60.00,0.00,4.80,0.00,64.80,USD,pending,,,,,2025-12-19 07:00:00,2026-01-04 14:58:04,2e4ec524-24dd-476e-b734-58cebd653129,,
adec471a-7f53-40b0-8961-9ec1a58e3d82,52efba3d-138f-4b14-b601-2b6af84884d7,8463e550-2cb3-41a1-86f4-17ae589e073a,b7871655-3ad6-4a91-9122-c40bf86ce57a,BK386842010005,completed,customer_web,70.00,7.00,5.60,0.00,68.60,USD,failed,,,,,2026-02-26 00:00:00,2026-01-04 14:58:04,52efba3d-138f-4b14-b601-2b6af84884d7,,
e1061b09-d764-4bb1-93e4-8121bd7d81fa,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,38838bd5-9249-449c-8118-473dec2d5057,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,BK386842010006,completed,customer_app,70.00,0.00,5.60,0.00,75.60,USD,pending,,,,,2026-02-13 11:00:00,2026-01-04 14:58:04,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,,
c98bb858-cd8d-4e21-96ba-9d7a52149831,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842010007,completed,customer_web,50.00,5.00,4.00,0.00,49.00,USD,succeeded,,,,,2026-01-22 03:00:00,2026-01-04 14:58:04,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,,
511c0791-4dc5-4236-a5cb-ed4d071be367,416d945c-161e-4330-9fea-ae2888ca2120,b411647a-a044-4395-b9ce-21ba61d2dc49,b200245d-aec6-421e-83b7-9f2968e76d78,BK386842010008,pending,customer_app,30.00,0.00,2.40,0.00,32.40,USD,failed,,,,,2025-12-13 05:00:00,2026-01-04 14:58:04,416d945c-161e-4330-9fea-ae2888ca2120,,
b196e35a-1782-46cc-99c0-319c7685bebd,5550badf-faab-4cff-9298-d12201b7e2f1,8463e550-2cb3-41a1-86f4-17ae589e073a,eab23b60-2e47-4b22-a9ad-61036724db86,BK386842010009,pending,customer_app,52.50,0.00,4.20,0.00,56.70,USD,failed,,,,,2026-01-28 02:00:00,2026-01-04 14:58:04,5550badf-faab-4cff-9298-d12201b7e2f1,,
45de786e-0f1f-44d0-8245-83a1211ed5b4,52efba3d-138f-4b14-b601-2b6af84884d7,38838bd5-9249-449c-8118-473dec2d5057,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,BK386842010010,confirmed,customer_web,45.00,4.50,3.60,0.00,44.10,USD,failed,,,,,2026-01-25 10:00:00,2026-01-04 14:58:04,52efba3d-138f-4b14-b601-2b6af84884d7,,
fd981170-3dc9-4f5a-aa86-9453b380f28c,52efba3d-138f-4b14-b601-2b6af84884d7,38838bd5-9249-449c-8118-473dec2d5057,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,BK386842010011,completed,customer_app,50.00,0.00,4.00,0.00,54.00,USD,pending,,,,,2026-02-06 11:00:00,2026-01-04 14:58:04,52efba3d-138f-4b14-b601-2b6af84884d7,,
66093ebd-b383-4a9f-9369-3f3dcefe04fd,f81b5321-6858-4d52-a4ee-660efcf5ec36,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842010012,confirmed,customer_app,60.00,6.00,4.80,0.00,58.80,USD,succeeded,,,,,2025-12-14 11:00:00,2026-01-04 14:58:04,f81b5321-6858-4d52-a4ee-660efcf5ec36,,
a1bb2698-20e2-495d-ad97-57a4b65dbe41,52efba3d-138f-4b14-b601-2b6af84884d7,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,BK386842010013,cancelled,admin_manual,60.00,0.00,4.80,0.00,64.80,USD,refunded,Customer requested cancellation,2026-01-02 04:00:00,52efba3d-138f-4b14-b601-2b6af84884d7,Customer request,2026-01-01 04:00:00,2026-01-04 14:58:04,52efba3d-138f-4b14-b601-2b6af84884d7,,
eeb2dd73-44d5-44eb-96b1-2cdfb74764d1,6ef9785c-5af9-478a-98ec-a58ef9b6125c,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,BK386842010014,pending,admin_manual,30.00,0.00,2.40,0.00,32.40,USD,pending,,,,,2026-01-28 04:00:00,2026-01-04 14:58:04,6ef9785c-5af9-478a-98ec-a58ef9b6125c,,
b366e113-54c0-47ce-acb1-acbf8c24db7b,38c3b73d-5884-4005-9e41-0acc635fefe1,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,BK386842010015,pending,admin_manual,60.00,6.00,4.80,0.00,58.80,USD,succeeded,,,,,2025-12-23 07:00:00,2026-01-04 14:58:04,38c3b73d-5884-4005-9e41-0acc635fefe1,,
dad49571-52ec-41fd-a667-9dbd5b40e1e5,7b6069ec-5dad-4166-8a29-6d773bffd2cb,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,BK386842010016,pending,customer_web,60.00,0.00,4.80,0.00,64.80,USD,pending,,,,,2026-02-19 08:00:00,2026-01-04 14:58:04,7b6069ec-5dad-4166-8a29-6d773bffd2cb,,
ca30f01a-acb8-457e-ae70-8855503067e9,d77da917-ae22-454f-92b4-02df880eeace,b411647a-a044-4395-b9ce-21ba61d2dc49,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,BK386842010017,confirmed,customer_web,60.00,0.00,4.80,0.00,64.80,USD,succeeded,,,,,2025-12-21 01:00:00,2026-01-04 14:58:04,d77da917-ae22-454f-92b4-02df880eeace,,
62f36199-3ed8-4eba-b5d9-9ec597232c05,1dcaab2a-d207-4cac-9a0f-392124a90fb9,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842020018,pending,customer_web,50.00,5.00,4.00,0.00,49.00,USD,pending,,,,,2026-01-28 08:00:00,2026-01-04 14:58:04,1dcaab2a-d207-4cac-9a0f-392124a90fb9,,
0c47ac08-9607-4bd9-8bb8-e9bd28a16cc1,85c52e93-6b90-4941-a3d0-edce1649da44,8463e550-2cb3-41a1-86f4-17ae589e073a,9482d0c5-1d4c-4189-8c98-45deba4320da,BK386842020019,completed,customer_app,35.00,3.50,2.80,0.00,34.30,USD,pending,,,,,2025-12-26 09:00:00,2026-01-04 14:58:04,85c52e93-6b90-4941-a3d0-edce1649da44,,
55617bec-e09a-41c4-b6e8-6b09f8516885,a8cab4a1-9b6b-410f-9bb1-be8655fd0e90,b411647a-a044-4395-b9ce-21ba61d2dc49,b200245d-aec6-421e-83b7-9f2968e76d78,BK386842020020,completed,customer_app,60.00,0.00,4.80,0.00,64.80,USD,pending,,,,,2026-01-31 07:00:00,2026-01-04 14:58:04,a8cab4a1-9b6b-410f-9bb1-be8655fd0e90,,
1a38f561-2a6c-4828-b6d7-903f3d0d8d49,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,BK386842020021,completed,customer_web,60.00,6.00,4.80,0.00,58.80,USD,pending,,,,,2025-12-17 04:00:00,2026-01-04 14:58:04,9ede05ba-e8ba-4e1c-a763-6eb938674bd4,,
aae6666a-77f5-42db-b5ac-8108adc638c9,e28da5bd-b8e1-4b86-9961-176a81349070,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842020022,completed,customer_web,37.50,0.00,3.00,0.00,40.50,USD,failed,,,,,2026-02-24 07:00:00,2026-01-04 14:58:04,e28da5bd-b8e1-4b86-9961-176a81349070,,
760aa813-331b-4dc1-a3bb-ecdec6d079ea,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,33869224-fd18-42b2-b27c-ba6f984995b8,339f4ea2-2c5d-4bc4-a1aa-c3783ffe7fea,BK386842020023,cancelled,customer_web,52.50,0.00,4.20,0.00,56.70,USD,refunded,Customer requested cancellation,2026-02-11 04:00:00,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,Customer request,2026-02-10 04:00:00,2026-01-04 14:58:04,4f8c0906-f410-4b29-9485-a5a2d0c48fcc,,
cdfc0717-83d8-4ffe-9328-156ce42e9a1c,85611826-d88a-4abf-8a9f-807d603e3342,8463e550-2cb3-41a1-86f4-17ae589e073a,eab23b60-2e47-4b22-a9ad-61036724db86,BK386842020024,cancelled,customer_app,25.00,0.00,2.00,0.00,27.00,USD,refunded,Customer requested cancellation,2025-12-28 06:00:00,85611826-d88a-4abf-8a9f-807d603e3342,Customer request,2025-12-27 06:00:00,2026-01-04 14:58:04,85611826-d88a-4abf-8a9f-807d603e3342,,
b75e0bd1-df74-4732-89d5-8547fa9c7450,275eb69c-8a74-4e48-b65f-c9cb96079958,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,BK386842020025,confirmed,customer_web,60.00,0.00,4.80,0.00,64.80,USD,pending,,,,,2026-02-02 08:00:00,2026-01-04 14:58:04,275eb69c-8a74-4e48-b65f-c9cb96079958,,
13a5c01e-d87c-4405-97ee-bc31aff019dc,52efba3d-138f-4b14-b601-2b6af84884d7,38838bd5-9249-449c-8118-473dec2d5057,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,BK386842020026,confirmed,customer_app,52.50,0.00,4.20,0.00,56.70,USD,succeeded,,,,,2026-01-06 02:00:00,2026-01-04 14:58:04,52efba3d-138f-4b14-b601-2b6af84884d7,,
ef56e824-f925-4bbb-8d7e-ba30db6a5b07,e28da5bd-b8e1-4b86-9961-176a81349070,b411647a-a044-4395-b9ce-21ba61d2dc49,0c0c761a-4d95-4133-937b-ebc79f524919,BK386842020027,confirmed,customer_app,25.00,0.00,2.00,0.00,27.00,USD,succeeded,,,,,2026-02-20 00:00:00,2026-01-04 14:58:04,e28da5bd-b8e1-4b86-9961-176a81349070,,
3ce095f8-186e-4bfc-a26b-636c6eb157ba,5550badf-faab-4cff-9298-d12201b7e2f1,b411647a-a044-4395-b9ce-21ba61d2dc49,b200245d-aec6-421e-83b7-9f2968e76d78,BK386842020028,pending,customer_web,60.00,0.00,4.80,0.00,64.80,USD,failed,,,,,2026-01-22 03:00:00,2026-01-04 14:58:04,5550badf-faab-4cff-9298-d12201b7e2f1,,
1c9bbd29-8819-40ba-8766-bc06897ead7e,38c3b73d-5884-4005-9e41-0acc635fefe1,33869224-fd18-42b2-b27c-ba6f984995b8,6f996f5c-9b87-401f-b8e3-3f3286a589f4,BK386842020029,cancelled,customer_app,60.00,0.00,4.80,0.00,64.80,USD,refunded,Customer requested cancellation,2025-12-10 00:00:00,38c3b73d-5884-4005-9e41-0acc635fefe1,Customer request,2025-12-09 00:00:00,2026-01-04 14:58:04,38c3b73d-5884-4005-9e41-0acc635fefe1,,
dd1a5ba5-1ded-42f9-af44-856fbe3acf26,7eaadfbb-542e-4d51-9a89-0c83b6938040,b411647a-a044-4395-b9ce-21ba61d2dc49,0c0c761a-4d95-4133-937b-ebc79f524919,BK386842020030,confirmed,customer_app,30.00,0.00,2.40,0.00,32.40,USD,pending,,,,,2026-02-23 07:00:00,2026-01-04 14:58:04,7eaadfbb-542e-4d51-9a89-0c83b6938040,,
2851a56f-de6c-4286-885c-26c7f032fc13,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,9cbcfedf-4455-4cfb-b412-d19cefd851ca,77924470-8f96-4bbf-9117-47e749386a7c,BK386842020031,cancelled,customer_web,30.00,3.00,2.40,0.00,29.40,USD,refunded,Customer requested cancellation,2026-02-26 05:00:00,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,Customer request,2026-02-25 05:00:00,2026-01-04 14:58:04,0daa0cab-5d9e-4dd3-bcd0-512490ea5fa8,,
70c2df92-3c79-4462-96ea-054b43a3cde1,124b8f6b-50bf-4b34-ae21-77650e54e7f4,9cbcfedf-4455-4cfb-b412-d19cefd851ca,807b3d73-be68-42e0-9062-4d4cc0d226f4,BK386842020032,completed,customer_app,35.00,0.00,2.80,0.00,37.80,USD,succeeded,,,,,2026-01-31 08:00:00,2026-01-04 14:58:04,124b8f6b-50bf-4b34-ae21-77650e54e7f4,,
9aa98181-b548-4836-9e69-cfc4d002b49b,235316ca-fcdd-4bd5-950f-d33a1f6c303c,38838bd5-9249-449c-8118-473dec2d5057,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,BK386842020033,cancelled,customer_web,52.50,0.00,4.20,0.00,56.70,USD,refunded,Customer requested cancellation,2026-02-03 02:00:00,235316ca-fcdd-4bd5-950f-d33a1f6c303c,Customer request,2026-02-02 02:00:00,2026-01-04 14:58:04,235316ca-fcdd-4bd5-950f-d33a1f6c303c,,
