id,company_id,branch_id,service_id,name,description,plan_type,plan_scope,billing_type,billing_cycle_days,price,currency,max_active_per_user,is_active,created_at,updated_at,created_by,updated_by,deleted_at
d79a6c2e-1feb-42b2-87b7-1b1158b3fea6,33869224-fd18-42b2-b27c-ba6f984995b8,,595b4a67-966e-42b6-b52a-57d7819ecf35,Basic Membership,Basic membership plan,recurring,company_wide,monthly,30,50.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
a05ac73f-ef06-4cd5-83ce-437a1036af61,33869224-fd18-42b2-b27c-ba6f984995b8,,595b4a67-966e-42b6-b52a-57d7819ecf35,Premium Membership,Premium membership plan,prepaid_pass,company_wide,annual,365,75.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
e4811a3b-307c-41a4-8d1c-b2b728ec2ac5,8463e550-2cb3-41a1-86f4-17ae589e073a,,25404fe4-0c4d-433c-9946-04595ad991a2,Basic Membership,Basic membership plan,recurring,company_wide,monthly,30,50.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
6055d04d-a481-4259-87ff-a2a69476b8ff,8463e550-2cb3-41a1-86f4-17ae589e073a,,25404fe4-0c4d-433c-9946-04595ad991a2,Premium Membership,Premium membership plan,prepaid_pass,company_wide,annual,365,75.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
60674f88-96da-4f24-9805-c30c85503240,8463e550-2cb3-41a1-86f4-17ae589e073a,,25404fe4-0c4d-433c-9946-04595ad991a2,Elite Membership,Elite membership plan,credits,company_wide,prepaid_passes,,100.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
6417eca9-d824-4006-bf9d-d4fca40db599,b411647a-a044-4395-b9ce-21ba61d2dc49,,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,Basic Membership,Basic membership plan,recurring,company_wide,monthly,30,50.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
85d02e0a-6d80-4553-a010-f17e84807fc0,b411647a-a044-4395-b9ce-21ba61d2dc49,,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,Premium Membership,Premium membership plan,prepaid_pass,company_wide,annual,365,75.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
df7f9ac9-6e34-4406-a959-4f093fe53ae1,b411647a-a044-4395-b9ce-21ba61d2dc49,,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,Elite Membership,Elite membership plan,credits,company_wide,prepaid_passes,,100.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
efe33794-cb4f-4004-b165-0ae6c9ea131a,b411647a-a044-4395-b9ce-21ba61d2dc49,,6449317a-b9fe-4e1c-a14b-2bf2e21cb72a,Pro Membership,Pro membership plan,recurring,company_wide,credits,,125.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
6dc1450a-6265-498f-86ae-2f714abbd881,9cbcfedf-4455-4cfb-b412-d19cefd851ca,,648bf2b5-5e36-4f47-9620-ca5c86e74730,Basic Membership,Basic membership plan,recurring,company_wide,monthly,30,50.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
36a48f60-89de-43c4-9b25-6b751ddb1d86,9cbcfedf-4455-4cfb-b412-d19cefd851ca,,648bf2b5-5e36-4f47-9620-ca5c86e74730,Premium Membership,Premium membership plan,prepaid_pass,company_wide,annual,365,75.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
43bd26bb-4b37-4e12-9273-d0baf2dbd79d,38838bd5-9249-449c-8118-473dec2d5057,,7a387614-4afe-4ca3-8b0c-996cd116a510,Basic Membership,Basic membership plan,recurring,company_wide,monthly,30,50.00,USD,1,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
9f497fb7-4fb9-4d5f-84af-f117e0b4875e,38838bd5-9249-449c-8118-473dec2d5057,,7a387614-4afe-4ca3-8b0c-996cd116a510,Premium Membership,Premium membership plan,prepaid_pass,company_wide,annual,365,75.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
da4849ca-61ce-4567-bfeb-dc73b3d477e9,38838bd5-9249-449c-8118-473dec2d5057,,7a387614-4afe-4ca3-8b0c-996cd116a510,Elite Membership,Elite membership plan,credits,company_wide,prepaid_passes,,100.00,USD,999,1,2024-01-16 00:00:00,2026-01-04 14:58:04,23adaeda-61a3-464f-b460-80193d1d63da,,
